Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,037242","-0,4829","-0,87131",0,0,0,"2114,6","1214,9","0,31415","-8,4286","1499,6","-33,332","570,71",0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
iz1_Link,"0,046899019277028","0,00599386120501055","2,22519419557088E-10",0,0,0,"0,450104915206598","0,000334303263892515","9,96318726703731E-05","-1,67196559200719E-10","0,000690198693942158","3,88296382489624E-10","0,000670525862276053",0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz1_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz1_Link.STL,,base_pared-1;union_pared-1,Origin_i1,Axis_i1,i1,continuous,"-0,198356243226931","-0,7",0,"3,14159265358979","-1,5707963267949",0,base_link,1,0,0,,,,,,,,,,,,
iz2_Link,"0,123170245762431","2,24128305997828E-07","-0,00580584423243669",0,0,0,"1,05627303687569","0,000800954354611823","-8,19290612147664E-09","1,82012426586531E-09","0,00563952897742919","-1,10969299836202E-09","0,0056911560526873",0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz2_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz2_Link.STL,,antebrazo-1;joint-1,Origin_i2,Axis_i2,i2,revolute,"-0,00357189922674747",0,0,"1,5707963267949",0,"-3,14159265358979",iz1_Link,0,0,1,0,0,"-1,3963","1,3963",,,,,,,,
iz3_Link,"-0,0820008178809861","-2,51271962209421E-07","-0,00507737401116559",0,0,0,"0,725662148891879","0,00057017315857775","6,96000352801363E-09","0,000235262219959166","0,00221358505941085","8,70563297078182E-09","0,00224067994548019",0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz3_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz3_Link.STL,,brazo_parte1-1;joint-3,Origin_i3,Axis_i3,i3,revolute,"0,248000000000001",0,0,"3,14159265358979",0,"-3,14159265358979",iz2_Link,0,0,1,0,0,"-1,3963","1,3963",,,,,,,,
iz4_Link,"-0,0936340655859038","-3,26723792187789E-08","-0,00454395848901257",0,0,0,"0,613865486215885","0,000458594108253679","-1,07774988503502E-09","-0,000141736411306983","0,00119500344851908","-2,94085219447195E-09","0,00121551589680621",0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz4_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz4_Link.STL,,brazo_parte2-1;joint2-1,Origin_i4,Axis_i4,i4,continuous,"-0,135000000000002",0,0,"0,00240768248758283",0,0,iz3_Link,1,0,0,,,,,,,,,,,,
iz5_Link,"-0,052664238732409","-2,9966948608684E-07","-0,00770287929963565",0,0,0,"0,441095544298267","0,000334974664613456","-4,5518055062031E-09","0,00011176763930799","0,000773087753603316","9,9887682840268E-09","0,000808220391854739",0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz5_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz5_Link.STL,,mano_parte1-1;joint-6,Origin_i5,Axis_i5,i5,revolute,"-0,162999999999993",0,0,"3,14159265358979",0,0,iz4_Link,0,0,1,0,0,"-1,2217","1,3963",,,,,,,,
iz6_Link,"-0,0703002600247344","4,1717175203182E-07","-2,1094237467878E-15",0,0,0,"0,412559191037482","0,000291363474329428","6,20991320193826E-09","-2,01551792960855E-16","0,000379319131169277","-8,62997824244149E-16","0,000379318429622878",0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz6_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz6_Link.STL,,mano_parte2-1;joint3-1,Origin_i6,Axis_i6,i6,continuous,"-0,0800000000000022",0,0,"-0,523598775598298",0,0,iz5_Link,1,0,0,,,,,,,,,,,,
iz6_11Link,"0,002073",0,"-0,0020381",0,0,0,"0,0067607","4,6872E-07","-3,8381E-22","-5,2221E-08","3,186E-07","3,6396E-23","4,7056E-07",0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz6_11Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz6_11Link.STL,,eje_principal_dedos-1;pasador_dedos_paralelos-1,Origin_i6_11,Axis_i6_11,i6_11,revolute,"-0,112","0,0121","0,020958","1,5708","-1,0472","1,5708",iz6_Link,0,1,0,0,0,"-0,34907","0,34907",,,,,,,,
iz6_12Link,"0,014835","1,5186E-11","-2,5109E-05",0,0,0,"0,003519","1,2963E-07","-2,0603E-16","-9,698E-14","1,8447E-07","1,5253E-11","2,2932E-07",0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz6_12Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz6_12Link.STL,,segmento1_dedos_frontales-1;pasador_manos_principal-1,Origin_i6_12,Axis_i6_12,i6_12,fixed,"0,00794974746830573",0,"-0,00494974746830568",0,"1,5707963267949",0,iz6_11Link,0,0,0,,,,,,,,,,,,
iz6_13Link,"-0,014397","1,1102E-16","-5,2807E-05",0,0,0,"0,0048858","1,5827E-07","4,9687E-14","7,9359E-11","3,9472E-07","4,0009E-12","3,4484E-07",0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz6_13Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz6_13Link.STL,,segmento2_dedos_frontales-1;pasador_s1_s2-1,Origin_i6_13,Axis_i6_13,i6_13,revolute,"0,0244852813742378",0,0,"3,14159265358979",0,"3,14159265358979",iz6_12Link,0,1,0,0,0,"-0,69813",0,,,,,,,,
iz6_14Link,"0,011439","-7,5592E-12","1,2074E-11",0,0,0,"0,0051527","1,9908E-07","-1,6224E-16","7,093E-16","3,043E-07","-1,1218E-13","3,2265E-07",0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz6_14Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot_chef_prueba_v6/meshes/iz6_14Link.STL,,segmento3_dedos_frontales-1;pasador_s1_s2-2,Origin_i6_14,Axis_i6_14,i6_14,revolute,"-0,0300000000000008",0,"-5,38898154983092E-05","3,14159265358979",0,"3,14159265358979",iz6_13Link,0,1,0,0,0,0,"1,0472",,,,,,,,
